Tag	dynamicColors	mergedColors
BVES	grey	grey
BYSL	magenta	darkgreen
BZW1	steelblue	darkgreen
BZW2	grey	grey
C10orf143	grey	grey
C10orf55	blue	blue
C10orf67	green	green
C10orf82	grey	grey
C10orf88	floralwhite	darkgreen
C10orf95	green	green
C10orf99	grey	grey
C11orf1	brown	brown
C11orf24	darkolivegreen	darkgreen
C11orf45	grey	grey
C11orf49	turquoise	darkgreen
C11orf54	yellowgreen	darkgreen
C11orf58	darkorange2	darkgreen
C11orf68	darkolivegreen	darkgreen
C11orf71	grey	grey
C11orf74	green	green
C11orf80	grey	grey
C11orf94	grey	grey
C11orf95	turquoise	darkgreen
C11orf96	blue	blue
C11orf97	green	green
C11orf98	grey	grey
C12orf10	darkorange	darkorange
C12orf29	black	darkgreen
C12orf4	brown4	brown4
C12orf43	black	darkgreen
C12orf45	darkorange	darkorange
C12orf49	black	darkgreen
C12orf56	grey	grey
C12orf57	brown4	brown4
C12orf60	brown4	brown4
